segmento,faixa,n,probabilidade_media,frequencia_observada
entrada,"(-0.0007650000000000001, 0.0291]",74,0.01217176875058698,0.0
entrada,"(0.0291, 0.0659]",74,0.04592678637430103,0.05405405405405406
entrada,"(0.0659, 0.116]",74,0.08994807365782874,0.1891891891891892
entrada,"(0.116, 0.232]",74,0.1612887013481343,0.3108108108108108
entrada,"(0.232, 0.97]",74,0.43128685716010706,0.581081081081081
permanencia,"(0.0281, 0.354]",79,0.20896556205113256,0.379746835443038
permanencia,"(0.354, 0.534]",79,0.44433511437847933,0.43037974683544306
permanencia,"(0.534, 0.71]",79,0.6273145214913458,0.4050632911392405
permanencia,"(0.71, 0.877]",79,0.7934090657904528,0.6835443037974683
permanencia,"(0.877, 0.996]",79,0.9438578133531905,0.9367088607594937
