feature,coefficient,abs_coefficient
num__fase_num,-1.5393150282615509,1.5393150282615509
num__idade,1.1597405874026123,1.1597405874026123
num__defasagem,-1.083191544970804,1.083191544970804
num__inde,-0.6660341819465733,0.6660341819465733
num__ipv,-0.5992767295758561,0.5992767295758561
num__ian,0.3211332766320749,0.3211332766320749
num__ips,0.2691285322237568,0.2691285322237568
cat__genero_Menino,0.23016867686111336,0.23016867686111336
cat__genero_Menina,-0.22471330449735294,0.22471330449735294
num__ieg,0.191282523282261,0.191282523282261
num__ida,0.1772139535587423,0.1772139535587423
num__iaa,0.16410844493822016,0.16410844493822016
num__anos_programa,-0.07997204787378188,0.07997204787378188
cat__instituicao_Escola Jp Ii,0.008319454781857952,0.008319454781857952
cat__instituicao_Escola Publica,-0.004977672672477544,0.004977672672477544
cat__instituicao_Rede Decisao,0.0021135902543807077,0.0021135902543807077
